make,price,body_type,type,doors,warranty,mileage,gearbox,metallic,seller,seats,engine_size,empty_weight,non_smoker_vehicle,country,power_kwh,age,fuel_type,co2_emissions,fuel_consumption_comb,safety_security_kmeans,comfort_convenience_kmeans,entertainment_kmeans,extras_kmeans,general_inspection_2,full_service_history_2,upholstery_2,previous_owner_2,taxi_or_rental_car_2,emission_class_euro
Mercedes-Benz,32900,Compact,Pre-registered,5,1,25.0,Manual,0,Dealer,5,1332.0,1350.0,0,ES,100.0,1,Benzine,126.0,59.36,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,32950,Compact,Used,5,0,24244.0,Manual,0,Dealer,5,1332.0,1445.0,0,BE,120.0,3,Benzine,140.0,102.48,0,1,0,0,0,0,Leather,Other,No,6
Mercedes-Benz,21000,Compact,Used,5,1,172700.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,13999,Compact,Used,5,0,128644.0,Manual,0,Dealer,5,1461.0,1270.0,0,BE,66.0,8,Diesel,98.0,146.68,0,0,0,0,0,0,Other,Other,No,5
Mercedes-Benz,8300,Compact,Used,4,1,71752.0,Automatic,1,Dealer,5,2035.0,1445.0,1,DE,100.0,17,Benzine,179.0,255.35999999999999,1,1,1,2,1,1,Leather,Other,No,6
Mercedes-Benz,32950,Compact,Used,4,0,34942.0,Automatic,0,Dealer,5,1332.0,1445.0,0,BE,120.0,2,Benzine,121.0,128.07529411764705,0,1,0,0,0,0,Other,Other,No,6
Mercedes-Benz,32950,Compact,Used,5,0,20124.0,Automatic,0,Dealer,5,1332.0,1345.0,0,BE,100.0,2,Benzine,128.0,154.32,0,1,0,0,0,0,Leather,Other,No,6
Mercedes-Benz,18390,Compact,Used,5,1,63871.0,Automatic,0,Dealer,5,1595.0,1395.0,0,ES,90.0,5,Benzine,126.0,181.6168421052632,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25900,Compact,Used,5,2,26900.0,Manual,1,Dealer,5,1332.0,1350.0,0,ES,100.0,2,Benzine,126.0,59.36,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25400,Compact,Used,5,1,87700.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29000,Compact,Used,5,0,45701.0,Automatic,0,Dealer,5,1950.0,1421.6586629506558,0,ES,110.0,3,Diesel,112.0,172.41333333333336,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29900,Compact,Used,4,2,52497.0,Automatic,1,Dealer,5,1332.0,1345.0,1,BE,100.0,3,Benzine,127.0,154.32,2,2,2,1,0,1,Leather,Other,No,6
Mercedes-Benz,14490,Compact,Used,5,1,118059.0,Manual,1,Dealer,5,1461.0,1295.0,0,BE,80.0,8,Diesel,98.0,147.58823529411765,1,1,1,0,0,0,Other,Other,No,6
Mercedes-Benz,20630,Compact,Used,5,1,98258.0,Manual,0,Dealer,5,1461.0,1345.0,0,ES,85.0,3,Diesel,101.0,147.58823529411765,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27500,Compact,Used,5,0,11394.0,Manual,1,Dealer,5,1332.0,1270.0,0,BE,80.0,1,Benzine,129.0,188.16,0,0,1,0,0,0,Leather,Other,No,6
Mercedes-Benz,8490,Compact,Used,5,1,141980.0,Automatic,1,Dealer,5,1699.0,1345.0,1,DE,85.0,11,Benzine,173.0,245.28,1,1,1,0,2,1,Other,1 owner,No,6
Mercedes-Benz,23850,Compact,Used,5,1,71098.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,35500,Compact,Used,5,1,26000.0,Automatic,0,Dealer,5,1991.0,1450.0,0,ES,140.0,3,Benzine,141.0,205.632,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29900,Compact,Used,5,2,26500.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,1,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25900,Compact,Used,5,1,43987.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,16700,Compact,Used,5,1,139000.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,6,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,23850,Compact,Used,5,1,71098.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27460,Compact,Used,5,0,58813.0,Automatic,0,Dealer,5,1332.0,1350.0,1,DE,100.0,2,Benzine,124.0,154.32,2,2,2,1,0,1,Leather,Other,No,6
Mercedes-Benz,17399,Compact,Used,5,1,100640.0,Manual,1,Dealer,5,1796.0,1445.0,0,ES,100.0,9,Diesel,108.5,165.98,0,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,23999,Compact,Used,5,2,100000.0,Automatic,0,Dealer,5,2143.0,1475.0,0,ES,100.0,6,Diesel,108.5,154.88249999999996,0,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,20630,Compact,Used,5,1,98258.0,Manual,0,Dealer,5,1461.0,1345.0,0,ES,85.0,3,Diesel,101.0,147.58823529411765,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,21000,Compact,Used,5,1,172700.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29900,Compact,Used,4,2,68900.0,Automatic,0,Dealer,5,1461.0,1455.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27999,Compact,Used,5,0,41272.0,Automatic,0,Dealer,5,1332.0,1445.0,0,BE,120.0,4,Benzine,126.0,128.07529411764705,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25600,Compact,Used,5,2,49600.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,26850,Compact,Used,5,1,28330.0,Automatic,1,Dealer,5,1332.0,1365.0,0,ES,100.0,2,Benzine,126.0,154.32,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25990,Compact,Used,5,0,67626.0,Automatic,1,Dealer,5,1332.0,1345.0,1,BE,100.0,2,Benzine,121.0,154.32,2,2,2,1,0,1,Other,1 owner,No,6
Mercedes-Benz,34995,Compact,Used,5,2,8828.0,Automatic,0,Dealer,5,1950.0,1555.0,0,ES,110.0,2,Diesel,108.5,165.01500000000004,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27800,Compact,Used,5,1,61618.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29999,Compact,Used,5,0,17115.0,Automatic,0,Dealer,5,1332.0,1345.0,0,BE,100.0,2,Benzine,126.0,154.32,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,38350,Compact,Demonstration,4,1,8000.0,Automatic,1,Dealer,5,1332.0,1445.0,0,DE,120.0,1,Benzine,138.0,128.07529411764705,2,2,2,1,1,0,Other,1 owner,No,6
Mercedes-Benz,23400,Compact,Used,5,1,87500.0,Automatic,0,Dealer,5,2143.0,1475.0,0,ES,100.0,6,Diesel,108.5,154.88249999999996,0,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,7350,Compact,Used,4,1,61170.0,Automatic,1,Dealer,5,1498.0,1225.0,1,DE,70.0,16,Benzine,171.0,241.92000000000002,1,1,1,1,1,1,Other,Other,No,4
Mercedes-Benz,21450,Compact,Used,5,1,116715.0,Automatic,0,Dealer,5,2143.0,1475.0,0,ES,100.0,5,Diesel,108.5,154.88249999999996,1,0,1,0,0,0,Other,Other,No,6
Mercedes-Benz,43880,Compact,Demonstration,4,1,8000.0,Automatic,1,Dealer,5,1950.0,1485.0,0,DE,140.0,1,Diesel,133.0,167.26666666666665,2,2,2,2,1,1,Leather,1 owner,No,6
Mercedes-Benz,23900,Compact,Used,5,1,98781.0,Automatic,1,Dealer,5,2143.0,1485.0,0,ES,100.0,5,Diesel,108.5,154.88249999999996,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,38880,Compact,Demonstration,4,1,22000.0,Automatic,1,Dealer,5,1950.0,1421.6586629506558,0,DE,110.0,2,Diesel,136.0,172.41333333333336,2,2,2,1,1,1,Leather,1 owner,No,6
Mercedes-Benz,27900,Compact,Used,5,1,19785.0,Automatic,0,Dealer,5,1595.0,1345.0,0,ES,100.0,1,Benzine,126.0,181.6168421052632,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,33900,Compact,Used,4,1,35758.0,Automatic,0,Dealer,5,1950.0,1510.0,0,ES,110.0,2,Diesel,108.5,165.01500000000004,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27490,Compact,Used,4,1,91754.0,Automatic,0,Dealer,5,1461.0,1455.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,24780,Compact,Used,5,0,46403.0,Automatic,0,Dealer,5,1595.0,1370.0,1,DE,90.0,4,Benzine,130.0,181.6168421052632,2,2,1,1,0,1,Other,Other,No,6
Mercedes-Benz,9770,Compact,Used,5,0,49658.0,Manual,1,Dealer,5,1699.0,1260.0,1,DE,85.0,10,Benzine,156.0,221.76,1,1,1,0,2,0,Other,Other,No,6
Mercedes-Benz,23850,Compact,Used,5,1,71098.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,6990,Compact,Used,5,0,135000.0,Manual,0,Dealer,5,1498.0,1225.0,0,ES,70.0,14,Benzine,171.0,208.32000000000002,0,0,0,0,0,0,Other,Other,No,4
Mercedes-Benz,7000,Compact,Used,5,0,96000.0,Manual,1,Dealer,5,2034.0,1340.0,0,ES,100.0,17,Benzine,123.0,241.92000000000002,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,6990,Compact,Used,5,0,135000.0,Manual,0,Dealer,5,1498.0,1225.0,0,ES,70.0,14,Benzine,171.0,208.32000000000002,0,0,0,0,0,0,Other,Other,No,4
Mercedes-Benz,33999,Compact,Used,5,1,12265.0,Automatic,0,Dealer,5,1991.0,1505.0,0,ES,160.0,2,Benzine,145.0,129.74769230769232,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,25950,Compact,Used,5,0,13863.0,Manual,1,Dealer,5,1332.0,1270.0,0,BE,80.0,2,Benzine,129.0,188.16,0,1,1,0,0,0,Leather,Other,No,6
Mercedes-Benz,25000,Compact,Used,5,2,78300.0,Automatic,0,Dealer,5,1332.0,1365.0,0,ES,100.0,3,Benzine,126.0,154.32,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,14700,Compact,Used,5,1,93914.0,Manual,1,Dealer,5,1461.0,1295.0,0,BE,80.0,7,Diesel,92.0,147.58823529411765,1,1,1,0,0,0,Leather,Other,No,6
Mercedes-Benz,32800,Compact,Used,5,1,17900.0,Automatic,0,Dealer,5,1991.0,1455.0,0,ES,225.0,1,Benzine,169.0,223.944,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,8950,Compact,Used,5,1,199000.0,Automatic,0,Dealer,5,1991.0,1345.0,0,ES,80.0,10,Diesel,101.0,200.72000000000003,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,56980,Compact,Used,5,0,58592.0,Automatic,0,Dealer,5,1991.0,1455.0,0,NL,225.0,3,Benzine,169.0,223.944,2,2,2,2,0,0,Leather,Other,No,6
Mercedes-Benz,46999,Compact,Used,4,0,5934.0,Automatic,1,Dealer,5,1337.0,1445.0,0,NL,100.0,1,Benzine,123.0,204.96,1,2,1,0,1,1,Leather,Other,No,6
Mercedes-Benz,38850,Compact,Used,5,0,49627.0,Automatic,0,Dealer,5,1991.0,1355.0,0,NL,202.0,4,Benzine,145.0,129.74769230769232,1,2,1,0,2,0,Other,Other,No,6
Mercedes-Benz,10950,Compact,Used,5,0,194367.0,Manual,1,Dealer,5,1461.0,1285.0,0,NL,80.0,8,Diesel,92.0,147.58823529411765,2,1,0,0,2,1,Other,Other,No,6
Mercedes-Benz,16750,Compact,Used,5,0,184748.0,Automatic,0,Dealer,5,1461.0,1325.0,0,NL,80.0,5,Diesel,98.0,153.3842105263158,1,1,0,0,1,0,Leather,Other,No,6
Mercedes-Benz,12950,Compact,Used,5,0,236233.0,Manual,1,Dealer,5,1461.0,1285.0,0,NL,80.0,6,Diesel,89.0,147.58823529411765,1,1,0,0,0,0,Other,Other,No,6
Mercedes-Benz,12445,Compact,Used,5,0,177477.0,Manual,1,Dealer,5,1461.0,1285.0,0,NL,80.0,6,Diesel,89.0,147.58823529411765,1,1,1,0,2,1,Other,Other,No,6
Mercedes-Benz,48950,Compact,Used,5,0,59012.0,Automatic,1,Dealer,5,1991.0,1455.0,1,NL,225.0,3,Benzine,169.0,223.944,2,1,1,1,2,1,Leather,1 owner,No,6
Mercedes-Benz,48136,Compact,Used,4,0,4537.0,Automatic,1,Dealer,5,1337.0,1445.0,0,NL,100.0,1,Benzine,123.0,204.96,2,2,1,1,1,1,Leather,Other,No,6
Mercedes-Benz,51999,Compact,Used,4,0,6642.0,Automatic,1,Dealer,5,1332.0,1445.0,0,NL,120.0,1,Benzine,123.0,128.07529411764705,1,2,1,0,1,1,Leather,Other,No,6
Mercedes-Benz,14945,Compact,Used,5,1,188018.0,Automatic,1,Dealer,5,1595.0,1295.0,0,NL,90.0,8,Benzine,131.0,181.6168421052632,2,2,0,1,1,1,Leather,Other,No,6
Mercedes-Benz,16950,Compact,Used,5,1,165282.0,Manual,0,Dealer,5,1461.0,1295.0,0,NL,80.0,10,Diesel,105.0,147.58823529411765,2,2,0,0,2,0,Leather,Other,No,6
Mercedes-Benz,27425,Compact,Used,5,1,139464.0,Automatic,1,Dealer,5,1332.0,1275.0,0,NL,120.0,4,Benzine,123.0,128.07529411764705,2,2,1,0,2,0,Leather,Other,No,6
Mercedes-Benz,44980,Compact,Used,5,0,34408.0,Automatic,0,Dealer,5,1991.0,1355.0,0,NL,165.0,3,Benzine,145.0,129.74769230769232,2,2,2,1,0,0,Leather,1 owner,No,6
Mercedes-Benz,33945,Compact,Used,5,0,47514.0,Automatic,1,Dealer,5,1991.0,1350.0,0,NL,140.0,3,Benzine,141.0,205.632,1,1,0,1,2,0,Other,Other,No,6
Mercedes-Benz,19950,Compact,Used,5,0,141989.0,Manual,0,Dealer,5,1461.0,1295.0,0,NL,80.0,5,Diesel,102.0,147.58823529411765,1,1,0,0,2,0,Leather,1 owner,No,6
Mercedes-Benz,22945,Compact,Used,5,1,108464.0,Automatic,1,Dealer,5,1595.0,1295.0,0,NL,75.0,5,Benzine,126.0,181.44000000000003,2,2,1,1,1,1,Leather,Other,No,6
Mercedes-Benz,38999,Compact,Used,5,0,59381.0,Automatic,1,Dealer,5,1332.0,1445.0,0,NL,120.0,3,Benzine,123.0,128.07529411764705,1,2,0,0,1,1,Leather,Other,No,6
Mercedes-Benz,6400,Compact,Used,5,1,179000.0,Automatic,1,Dealer,5,1991.0,1345.0,0,ES,80.0,16,Diesel,101.0,200.72000000000003,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,13990,Compact,Used,5,1,123000.0,Manual,1,Dealer,5,1991.0,1345.0,0,ES,80.0,10,Diesel,101.0,200.72000000000003,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,23990,Compact,Used,5,1,51078.0,Automatic,0,Dealer,5,1461.0,1345.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,26900,Compact,Used,5,1,139719.0,Automatic,1,Dealer,5,1950.0,1290.0,0,NL,110.0,3,Diesel,108.5,165.01500000000004,1,1,0,0,0,1,Other,Other,No,6
Mercedes-Benz,13900,Compact,Used,5,0,212000.0,Manual,0,Dealer,5,1461.0,1270.0,0,ES,66.0,6,Diesel,98.0,146.68,0,0,0,0,0,0,Other,Other,No,5
Mercedes-Benz,59950,Compact,Used,5,1,8400.0,Automatic,1,Dealer,5,1991.0,1480.0,0,NL,225.0,1,Benzine,175.0,223.944,2,1,1,1,2,1,Leather,Other,No,6
Mercedes-Benz,23990,Compact,Used,5,1,51078.0,Automatic,0,Dealer,5,1461.0,1345.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,19750,Compact,Used,5,1,151300.0,Automatic,0,Dealer,5,1991.0,1345.0,1,NL,155.0,9,Benzine,145.0,129.74769230769232,2,1,0,1,0,1,Other,Other,No,6
Mercedes-Benz,15000,Compact,Used,5,1,129000.0,Automatic,0,Dealer,5,1598.0,1421.6586629506558,0,FR,100.0,9,Diesel,114.0,200.90323057773838,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,28980,Compact,Used,5,1,36605.0,Automatic,0,Dealer,5,2143.0,1485.0,0,FR,132.0,5,Diesel,120.0,164.87714285714287,1,1,0,0,0,0,Other,Other,No,6
Mercedes-Benz,37900,Compact,Used,5,1,71927.0,Automatic,1,Dealer,5,1991.0,1350.0,0,NL,140.0,2,Benzine,143.0,205.632,1,2,1,1,2,1,Leather,Other,No,6
Mercedes-Benz,23780,Compact,Used,5,0,80928.0,Automatic,0,Dealer,5,2143.0,1445.0,0,FR,100.0,4,Diesel,108.5,154.88249999999996,1,2,1,1,0,0,Other,Other,No,6
Mercedes-Benz,27800,Compact,Used,5,1,61618.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,26850,Compact,Used,5,1,25681.0,Automatic,1,Dealer,5,1332.0,1365.0,0,ES,100.0,2,Benzine,126.0,154.32,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,4850,Compact,Used,5,0,176000.0,Manual,1,Dealer,5,1498.0,1245.0,1,AT,70.0,11,Benzine,139.0,194.88,1,1,1,1,0,1,Other,Other,No,6
Mercedes-Benz,31450,Compact,Used,5,0,99597.0,Automatic,1,Dealer,5,1461.0,1325.0,0,NL,85.0,3,Diesel,101.0,153.3842105263158,1,2,1,1,1,1,Leather,Other,No,6
Mercedes-Benz,17944,Compact,Used,5,0,99939.0,Manual,1,Dealer,5,1595.0,1270.0,0,NL,90.0,6,Benzine,131.0,182.784,1,1,0,0,2,1,Leather,1 owner,No,6
Mercedes-Benz,19950,Compact,Used,5,0,189278.0,Automatic,1,Dealer,5,2143.0,1345.0,0,NL,100.0,7,Diesel,108.5,154.88249999999996,2,2,0,1,1,1,Leather,Other,No,6
Mercedes-Benz,23536,Compact,Used,5,1,29721.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,3,Diesel,101.0,153.3842105263158,1,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,20490,Compact,Used,5,1,75000.0,Automatic,0,Dealer,5,2143.0,1485.0,0,ES,130.0,6,Diesel,120.0,164.87714285714287,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,37950,Compact,Used,5,1,67953.0,Automatic,1,Dealer,5,1332.0,1275.0,0,NL,121.0,4,Benzine,123.0,128.07529411764705,2,2,1,1,2,1,Leather,Other,No,6
Mercedes-Benz,33950,Compact,Used,5,0,74951.0,Automatic,1,Dealer,5,1333.0,1275.0,0,NL,120.0,4,Benzine,123.0,178.08,1,2,0,0,1,1,Leather,Other,No,6
Mercedes-Benz,12245,Compact,Used,5,1,140230.0,Manual,0,Dealer,5,1461.0,1285.0,0,NL,80.0,9,Diesel,92.0,147.58823529411765,1,1,0,0,1,1,Other,Other,No,6
Mercedes-Benz,19995,Compact,Used,5,0,63522.0,Manual,0,Dealer,5,1595.0,1445.0,0,NL,115.0,5,Benzine,123.0,174.87949604694325,1,1,1,0,1,1,Leather,Other,No,6
Mercedes-Benz,37990,Compact,Used,5,1,33576.0,Automatic,0,Dealer,5,1991.0,1580.0,0,ES,165.0,3,Benzine,145.0,129.74769230769232,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,27800,Compact,Used,5,1,61618.0,Automatic,0,Dealer,5,1461.0,1425.0,0,ES,80.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,16945,Compact,Used,5,0,135462.0,Automatic,0,Dealer,5,1595.0,1295.0,0,NL,90.0,7,Benzine,124.0,181.6168421052632,2,1,0,0,2,0,Other,Other,No,6
Mercedes-Benz,18950,Compact,Used,5,0,114795.0,Automatic,0,Dealer,5,1991.0,1345.0,0,NL,155.0,10,Benzine,145.0,129.74769230769232,2,1,0,0,2,1,Leather,Other,No,6
Mercedes-Benz,26980,Compact,Used,5,0,82571.0,Automatic,0,Dealer,5,1595.0,1295.0,0,NL,90.0,4,Benzine,126.0,181.6168421052632,2,2,1,1,0,0,Leather,Other,No,6
Mercedes-Benz,18945,Compact,Used,5,1,96488.0,Automatic,1,Dealer,5,1595.0,1295.0,0,NL,90.0,7,Benzine,124.0,181.6168421052632,2,2,1,1,1,1,Leather,Other,No,6
Mercedes-Benz,22950,Compact,Used,5,0,109275.0,Automatic,0,Dealer,5,1595.0,1295.0,1,NL,90.0,4,Benzine,126.0,181.6168421052632,1,2,0,1,0,1,Leather,Other,No,6
Mercedes-Benz,32990,Compact,Used,5,1,41004.0,Automatic,1,Dealer,5,1332.0,1275.0,0,NL,120.0,4,Benzine,120.0,128.07529411764705,1,1,0,0,0,0,Leather,Other,No,6
Mercedes-Benz,12295,Compact,Used,5,0,161839.0,Manual,1,Dealer,5,1595.0,1270.0,0,NL,90.0,9,Benzine,128.0,182.784,1,1,0,0,2,1,Leather,Other,No,6
Mercedes-Benz,27400,Compact,Used,5,1,96300.0,Automatic,0,Dealer,5,1461.0,1445.0,0,ES,85.0,4,Diesel,101.0,153.3842105263158,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,29950,Compact,Used,5,1,63267.0,Automatic,1,Dealer,5,1332.0,1275.0,0,NL,121.0,4,Benzine,123.0,128.07529411764705,1,1,0,0,1,1,Other,Other,No,6
Mercedes-Benz,22950,Compact,Used,5,0,81835.0,Automatic,1,Dealer,5,1991.0,1365.0,0,NL,155.0,8,Benzine,140.0,129.74769230769232,2,1,0,1,1,1,Leather,Other,No,6
Mercedes-Benz,34950,Compact,Used,5,0,74458.0,Automatic,1,Dealer,5,1332.0,1265.0,0,NL,100.0,4,Benzine,122.0,154.32,1,2,1,1,1,1,Leather,Other,No,6
Mercedes-Benz,35950,Compact,Used,5,0,14683.0,Automatic,1,Dealer,5,1332.0,1265.0,0,NL,100.0,1,Benzine,126.0,154.32,2,2,0,1,0,1,Leather,Other,No,6
Mercedes-Benz,19990,Compact,Used,5,1,87119.0,Automatic,0,Dealer,5,2143.0,1485.0,0,ES,100.0,5,Diesel,108.5,154.88249999999996,0,0,0,0,0,0,Other,Other,No,6
Mercedes-Benz,18750,Compact,Used,5,0,108208.0,Manual,0,Dealer,5,1595.0,1345.0,0,NL,90.0,7,Benzine,126.0,182.784,1,1,1,0,1,1,Leather,Other,No,6
Mercedes-Benz,15250,Compact,Used,5,1,100532.0,Manual,1,Dealer,5,1595.0,1270.0,0,NL,90.0,9,Benzine,133.0,182.784,2,1,0,1,1,1,Leather,1 owner,No,6
Mercedes-Benz,22790,Compact,Used,5,0,47638.0,Automatic,0,Dealer,5,1500.0,1395.0,0,FR,80.0,5,Diesel,102.0,150.54,1,0,1,0,0,0,Other,1 owner,No,6
